Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2024-11-22	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	6	100	Song	ZA	0	0.00647426
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	BO	0	0.00000200
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	BW	0	0.00060200
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	10	100	Song	BY	0	0.00638700
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	GE	0	0.00265800
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	GE	0	0.00210900
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	17	100	Song	IN	0	0.00801400
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2	100	Song	IN	0	0.00044400
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	KH	0	0.00145200
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	1	100	Song	KR	0	0.00232600
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2	100	Song	KR	0	0.00613400
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	KZ	0	0.00232600
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	19	100	Song	KZ	0	0.01611299
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	NG	0	0.00076600
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	3	100	Song	NG	0	0.00051500
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	3	100	Song	PA	0	0.00118100
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	SV	0	0.00470300
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	12	100	Song	UA	0	0.00858100
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	1	100	Song	SV	0	0.00117600
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	16	100	Song	UA	0	0.00685600
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	6805	100	Song	US	0	26.95148289
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2792	100	Song	US	0	10.15983506
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	25	100	Song	VE	0	0.07983796
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	42	100	Song	GB	0	0.20077360
2024-11-23	2024-09	Spotify	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	64	100	Song	GB	0	0.29190519
2024-11-29	2024-09	Apple Music	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	4	100	Song	BR	0	0.02512790
2024-11-29	2024-09	Apple Music	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	5	100	Song	BR	0	0.03140987
2024-11-29	2024-09	Apple Music	ZONE A0	HOLD ON I	QZTAW2496365	198667254765	4	100	Song	CA	0	0.02663162
2024-11-29	2024-09	Apple Music	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	8	100	Song	CA	0	0.05326324
2024-11-30	2024-09	Apple Music	ZONE A0	HOLD ON II	QZTAW2496366	198667254765	2	100	Song	GB	0	0.02722609
